dataset,strategy,model_A,model_B,metric,mean_A,mean_B,t_p_value,wilcoxon_p_value,cohens_d
IBM_Telco,None,Logistic,RandomForest,roc_auc,0.8450311349286712,0.8423276624923686,0.18942909222127363,0.4375,0.7062536628504419
IBM_Telco,None,Logistic,XGB,roc_auc,0.8450311349286712,0.8452588604083022,0.923755577634441,1.0,-0.04556163344922404
IBM_Telco,None,RandomForest,XGB,roc_auc,0.8423276624923686,0.8452588604083022,0.15401675089586847,0.1875,-0.7851007471270913
IBM_Telco,Class_Weights,Logistic,RandomForest,roc_auc,0.8443577414527195,0.8428830491700061,0.45116211574596715,0.625,0.3730007066831113
IBM_Telco,Class_Weights,Logistic,XGB,roc_auc,0.8443577414527195,0.8465041052532974,0.45836133744808993,0.4375,-0.36663146772420957
IBM_Telco,Class_Weights,RandomForest,XGB,roc_auc,0.8428830491700061,0.8465041052532974,0.045070154771579045,0.0625,-1.28741173646611
IBM_Telco,SMOTE,Logistic,RandomForest,roc_auc,0.8430542331975308,0.8353339885215683,0.015199272879236789,0.0625,1.8210058108554217
IBM_Telco,SMOTE,Logistic,XGB,roc_auc,0.8430542331975308,0.8456491526230291,0.31141047593684895,0.3125,-0.517733470690084
IBM_Telco,SMOTE,RandomForest,XGB,roc_auc,0.8353339885215683,0.8456491526230291,0.0009464212907357024,0.0625,-3.9063875662018526
